iter	Logloss
0	0.6695467051
1	0.6520807514
2	0.6429988536
3	0.6368697231
4	0.6275302515
5	0.6182010346
6	0.6127035982
7	0.6063844063
8	0.5994981574
9	0.5926269112
10	0.5856104192
11	0.5808443466
12	0.5776115739
13	0.5733591607
14	0.5691984733
15	0.5654481703
16	0.5635474416
17	0.557150788
18	0.5539866163
19	0.5506462046
20	0.5469326629
21	0.543922723
22	0.539604748
23	0.5357765051
24	0.5327365032
25	0.5306187386
26	0.5286346504
27	0.5259281223
28	0.5231583609
29	0.5204441932
30	0.518374026
31	0.5150658018
32	0.5122909837
33	0.5108168484
34	0.5066168823
35	0.5044812947
36	0.5028342139
37	0.5007933407
38	0.4988780928
39	0.4966487211
40	0.4950189843
41	0.4932804553
42	0.4907577399
43	0.4890111367
44	0.4876607604
45	0.4849105685
46	0.4826750733
47	0.4799700007
48	0.4778485009
49	0.475890745
50	0.4743122159
51	0.4719656181
52	0.4701660494
53	0.4680491642
54	0.4650220176
55	0.4627263368
56	0.4594585889
57	0.4562874528
58	0.4546016053
59	0.4524670373
60	0.4485306263
61	0.4460805367
62	0.4434540403
63	0.44150244
64	0.4392638283
65	0.4368628565
66	0.4344053081
67	0.4305849993
68	0.4275338189
69	0.4250682672
70	0.4214389173
71	0.418066836
72	0.415913401
73	0.414212838
74	0.4112645955
75	0.4091581976
76	0.4058846986
77	0.4033886145
78	0.4000154017
79	0.3974951771
80	0.3941009233
81	0.3923948033
82	0.3881840659
83	0.384313901
84	0.3824898248
85	0.3800417947
86	0.378756543
87	0.3771170031
88	0.3749550132
89	0.3735874601
90	0.3700353557
91	0.3676757274
92	0.3656057244
93	0.3638040636
94	0.3623067219
95	0.3612040844
96	0.3585327957
97	0.3563220143
98	0.3550191864
99	0.3525718912
100	0.3507961774
101	0.3499993391
102	0.3483931904
