iter	Passed	Remaining
0	7	804
1	15	773
2	22	754
3	30	742
4	37	736
5	45	727
6	52	720
7	59	710
8	67	703
9	74	694
10	82	686
11	89	678
12	96	670
13	104	663
14	111	654
15	118	646
16	126	637
17	133	630
18	141	623
19	148	615
20	156	609
21	163	602
22	170	594
23	178	587
24	185	579
25	193	572
26	200	564
27	207	556
28	215	550
29	223	542
30	230	535
31	237	527
32	245	521
33	253	513
34	260	505
35	267	498
36	275	490
37	282	483
38	289	475
39	297	468
40	304	460
41	312	453
42	319	445
43	326	438
44	334	430
45	341	423
46	349	416
47	356	408
48	364	401
49	371	393
50	378	385
51	385	378
52	393	371
53	400	363
54	408	356
55	415	348
56	423	341
57	430	333
58	437	326
59	445	319
60	452	311
61	459	304
62	467	296
63	474	289
64	482	281
65	489	274
66	497	267
67	504	259
68	511	252
69	519	244
70	526	237
71	533	229
72	541	222
73	548	214
74	555	207
75	562	199
76	570	192
77	577	185
78	585	177
79	592	170
80	599	162
81	607	155
82	614	148
83	622	140
84	629	133
85	636	125
86	644	118
87	651	111
88	659	103
89	666	96
90	673	88
91	681	81
92	688	74
93	695	66
94	703	59
95	710	51
96	718	44
97	725	37
98	733	29
99	740	22
100	747	14
101	755	7
102	762	0
